FULL_NEW_Publ,PlantHeightDrought_S
PI24969,120.6536119
PI34911,118.1936163
PI533750,69.07434558
PI533752,84.41613947
PI533754,54.22560332
PI533755,89.33571047
PI533757,73.41361275
PI533758,83.43200773
PI533759,57.46463104
PI533760,77.77868972
PI533761,87.52695971
PI533762,67.79802877
PI533766,81.83793821
PI533769,51.56030974
PI533776,89.29617035
PI533785,103.8407327
PI533788,68.58635346
PI533789,80.33551124
PI533792,62.27037007
PI533794,72.8241464
PI533799,73.24081665
PI533800,83.72173222
PI533807,83.18917096
PI533810,67.41416724
PI533814,60.08415892
PI533821,66.67720928
PI533822,82.46052794
PI533824,81.17945082
PI533833,41.26731002
PI533841,81.42382538
PI533842,67.00163083
PI533843,118.5038742
PI533845,75.44258629
PI533852,76.14363093
PI533856,65.92786988
PI533863,100.4619273
PI533866,72.86130323
PI533869,101.0129772
PI533876,99.65578592
PI533877,60.86514711
PI533878,70.76468681
PI533901,83.10356507
PI533902,72.40140036
PI533910,76.44242095
PI533911,69.44276699
PI533912,99.34100268
PI533913,75.51403967
PI533919,97.11136591
PI533921,49.52050454
PI533936,72.00554077
PI533938,82.77200998
PI533939,109.9659485
PI533948,71.82857011
PI533954,69.7484503
PI533955,75.83482069
PI533956,77.9726655
PI533957,72.26736618
PI533961,89.06030879
PI533962,106.1697259
PI533964,91.04925434
PI533965,83.69148669
PI533967,75.69505625
PI533972,77.89380079
PI533976,85.21547471
PI533979,92.68033861
PI533980,49.63415535
PI533985,78.76491497
PI533986,76.86465527
PI533987,89.55985293
PI533989,80.77620559
PI533991,77.57938285
PI533996,70.1914913
PI533997,111.617326
PI533998,66.66093155
PI534009,83.01014848
PI534021,67.23210253
PI534028,80.42265679
PI534037,99.31109078
PI586788,61.25941932
PI534047,100.4829268
PI534054,67.59548695
PI534063,100.5007743
PI534070,108.7583601
PI534075,111.0362301
PI534079,115.3745729
PI534088,82.92708977
PI534092,67.83947757
PI534096,97.53546359
PI534097,77.81087646
PI534099,71.00802525
PI534101,89.1304711
PI534104,88.44827912
PI534105,76.69292806
PI534108,87.83566058
PI534112,70.90912681
PI534114,77.87719307
PI534115,69.30436962
PI534116,85.10539368
PI534117,60.89999026
PI534123,86.49910207
PI534124,91.50919546
PI534127,80.79269272
PI534128,80.80568437
PI534132,71.74575754
PI534133,87.44135747
PI534135,76.81493976
PI534137,101.2004853
PI534139,137.8161038
PI534144,112.4525673
PI534145,101.5001269
PI534148,91.55869724
PI534155,73.52150717
PI534157,99.25790186
PI534163,85.48834154
PI534167,78.66170148
PI548797,82.23481622
PI552856,63.41161548
PI552861,99.94024121
PI561072,82.5677564
PI561073,85.86448037
PI564163,83.73275337
PI564165,86.24452321
PI565121,93.59994241
PI574455,89.1771005
PI576333,85.1852086
PI576339,79.18228177
PI576340,98.84582361
PI576348,134.0091274
PI576349,107.2927249
PI576350,124.500808
PI576352,79.48740346
PI576359,87.91256777
PI576364,80.99647178
PI576366,68.91457904
PI576375,95.33390537
PI576376,86.55777323
PI576380,92.31346533
PI576381,75.29492156
PI576385,92.83343817
PI576386,49.06227031
PI576387,85.10867081
PI576390,92.75906162
PI576422,90.60283086
PI576425,89.0273367
PI576426,81.08312507
PI576428,81.46681921
PI576435,90.72695679
PI576437,138.0021428
PI585291,76.55275134
PI595699,77.87653773
PI595702,70.60796754
PI595718,77.61897837
PI595739,75.49864827
PI595740,91.16900834
PI595743,66.81008892
PI595744,90.93623028
PI595745,81.14759218
PI597945,87.86783197
PI597946,85.34641324
PI597949,95.43827012
PI597950,128.1569037
PI597951,104.5025998
PI597952,88.15670891
PI597957,73.63218848
PI597958,86.30868413
PI597960,86.61204159
PI597961,74.6956088
PI597964,63.81943729
PI597965,92.402727
PI597966,69.54249591
PI597967,44.28505416
PI597968,89.73997524
PI597973,67.67013237
PI597980,96.31370834
PI597982,100.9539914
PI598070,149.9954667
PI601816,128.3164334
PI607931,67.50114159
PI642791,78.98650387
PI642992,147.0064218
PI655970,114.2610799
PI655971,92.06311152
PI655975,77.29861617
PI655976,104.3780097
PI655978,84.78348814
PI655979,69.8856549
PI655982,64.83864092
PI655985,77.41647657
PI655987,90.60316499
PI655988,72.22395129
PI655989,79.62110467
PI655990,89.24253579
PI655991,85.18768884
PI655993,71.4105925
PI655995,126.5691218
PI655996,60.00417078
PI655997,80.25931226
PI655998,80.32104876
PI655999,147.9045624
PI656000,80.45861274
PI656016,95.60358895
PI656017,89.31674233
PI656018,72.3431085
PI656020,71.33062108
PI656021,69.86101318
PI656022,67.28290748
PI656024,113.260375
PI656029,69.04991375
PI656030,76.68629805
PI656068,80.98360441
PI656069,67.33528181
PI656070,87.04490195
PI656071,86.56933019
PI656076,76.78557571
PI656077,99.87541106
PI656078,88.11765135
PI656079,128.2333314
PI656080,76.14770656
PI656081,124.196911
PI656082,64.75573678
PI656083,113.5888483
PI656085,75.39576481
PI656086,129.3574675
PI656087,89.27943964
PI656088,70.47631949
PI656090,132.2344932
PI656091,83.13989862
PI656092,66.83761532
PI656093,103.5443317
PI656094,109.8183777
PI656095,112.0563197
PI656096,92.90782686
PI656097,91.5570988
PI656098,131.9118709
PI656099,114.4210251
PI656100,70.43245579
PI656102,91.8150365
PI656103,105.3580527
PI656104,101.4395805
PI656106,71.88374533
PI656107,120.4366683
PI656108,88.81613902
PI656109,68.38360324
PI656110,69.35478294
PI656111,101.763246
PI656112,74.05029468
PI656113,70.31742109
PI656114,92.37520854
PI656115,105.8537781
PI656116,99.44142661
PI656117,75.52216276
PI656118,72.35539133
PI656119,108.5496252
PI656120,67.65878725
PI656121,113.2700624
PI659691,95.69088157
PI659696,91.25749566
